hist_authorAccountId,MIN(hist_createdTime)
6332,"2015-03-13 13:03:32"
64723,"2016-07-26 18:12:32"
65154,"2016-02-17 15:47:46"
65230,"2015-12-22 15:31:38"
65554,"2015-11-18 22:01:55"
6567,"2015-06-11 06:11:58"
659,"2013-06-03 18:41:13"
661,"2014-02-26 15:16:13"
66274,"2015-11-27 09:49:14"
663,"2012-07-31 04:09:14"
6658,"2014-09-01 10:15:38"
667,"2015-03-17 13:09:57"
668,"2014-11-02 16:55:25"
669,"2014-08-28 18:57:40"
675,"2013-04-19 08:01:54"
680,"2012-06-04 12:15:04"
685,"2012-06-04 22:05:45"
692,"2015-09-10 09:00:27"
693,"2013-07-02 17:19:49"
709,"2013-10-25 17:45:14"
7094,"2016-05-25 11:51:30"
7096,"2014-12-11 12:17:38"
7099,"2015-02-25 18:42:26"
7105,"2014-06-25 16:31:10"
7110,"2015-02-12 16:15:24"
7128,"2014-11-18 14:49:48"
7131,"2014-11-18 14:07:05"
7137,"2014-08-06 14:02:15"
7151,"2016-02-10 08:22:05"
7162,"2015-05-26 19:35:07"
7197,"2015-08-23 20:05:10"
72096,"2016-04-29 08:45:45"
721,"2012-08-02 19:44:16"
7214,"2014-12-02 22:15:56"
7215,"2014-08-30 13:56:53"
722,"2012-07-25 14:37:30"
723,"2012-07-27 21:01:35"
7232,"2016-11-16 15:28:02"
724,"2012-09-05 21:33:28"
7248,"2016-03-29 14:07:42"
7249,"2014-08-19 07:33:03"
725,"2012-09-12 13:01:33"
72574,"2016-05-10 13:53:46"
726,"2012-07-26 14:03:42"
728,"2012-08-03 13:08:04"
729,"2014-05-16 11:48:48"
7344,"2014-11-13 16:22:50"
74,"2010-08-29 17:58:08"
755,"2013-03-19 19:15:08"
759,"2013-01-15 23:20:44"
763,"2012-07-26 21:51:44"
765,"2013-04-29 08:49:26"
767,"2012-08-02 14:33:40"
772,"2012-07-25 18:14:38"
775,"2016-04-06 21:16:45"
776,"2012-07-27 18:46:19"
77876,"2016-04-13 19:25:09"
79,"2012-06-02 14:38:32"
790,"2015-01-23 18:22:45"
797,"2013-12-14 22:34:52"
798,"2012-12-05 18:21:38"
8,"2010-02-02 07:17:12"
814,"2014-09-29 15:26:19"
83,"2012-06-04 11:14:21"
83691,"2016-10-12 08:19:38"
847,"2014-02-26 15:51:51"
849,"2013-02-19 10:13:20"
857,"2013-01-14 10:28:45"
879,"2013-03-23 21:11:46"
880,"2012-10-30 19:39:43"
881,"2014-05-28 09:18:36"
882,"2015-03-13 15:26:08"
888,"2014-11-19 10:12:26"
890,"2013-10-24 16:06:57"
9,"2016-07-26 08:09:29"
902,"2012-12-05 21:08:26"
903,"2012-11-07 15:20:15"
906,"2012-11-07 15:54:08"
908,"2012-11-07 15:47:19"
909,"2012-12-05 23:17:45"
910,"2015-06-11 14:01:55"
911,"2013-02-15 20:07:57"
920,"2013-12-12 10:27:28"
925,"2016-10-23 23:18:35"
93368,"2016-10-06 08:56:40"
934,"2013-01-16 13:30:19"
935,"2013-10-09 13:45:22"
936,"2013-06-04 19:52:39"
938,"2014-04-07 11:59:58"
940,"2013-11-14 18:34:51"
941,"2015-10-23 20:53:33"
9430,"2015-04-01 19:05:50"
947,"2013-09-18 18:57:15"
9486,"2015-07-15 08:09:39"
951,"2015-06-10 22:57:16"
957,"2014-02-25 14:47:53"
964,"2013-04-17 14:00:05"
972,"2014-12-02 13:56:30"
973,"2016-04-21 18:27:30"
988,"2014-04-07 15:03:25"
995,"2013-08-21 20:31:32"
