ch_changeIdNum,ch_authorAccountId
60206,8775
60989,1287
59445,51855
62636,1468
62564,455
62004,63701
62483,621
61922,3467
61919,8775
61920,3467
60200,587
62282,23040
62061,60893
52885,940
62222,33574
54975,33574
56452,33574
62156,67033
62090,2695
61497,430
62010,621
61953,1093
60717,1093
59791,3467
61803,43702
61792,9048
58599,37142
57875,1093
61579,513
61614,1218
61555,1220
58774,63114
58949,37677
60970,1179
41400,3467
60991,37142
61036,2584
61056,458
61045,29211
61025,37142
51771,763
59947,1287
60868,1220
57236,3467
60856,951
60855,951
60854,951
60852,951
60851,951
60850,951
60849,951
60848,951
60847,951
60846,951
60845,951
60844,951
49578,951
49579,951
60165,951
60164,951
60108,951
60109,951
49580,951
49581,951
49570,951
49572,951
60679,43769
57664,1179
60446,32949
60712,1087
45104,18429
44991,18429
40464,18429
43064,118
44986,11437
44919,1472
44951,529
44799,857
20153,1439
44275,431
44758,16951
44701,2471
44689,6071
35666,1655
35667,1655
22673,934
39414,1005
44305,25014
44399,16490
44420,13156
40260,3108
40262,3108
43783,22490
43465,6990
41898,3091
44386,7110
42591,884
34708,1895
38757,2139
32687,1278
42812,1013
43406,7193
21868,1319
43310,1516
43738,20074
43498,326
43641,4
42006,9434
43599,23229
43595,489
43597,23229
43489,1472
39173,7193
38560,513
39217,12447
43080,1287
38571,513
43297,12380
39989,18770
24295,5082
43079,22941
43073,22941
42799,1287
41507,16290
41845,857
41818,857
42879,2471
41286,1472
40079,2264
42585,911
42332,3573
35792,934
35815,934
41739,7110
39779,1287
23877,1472
30051,1472
39505,1287
38261,13442
41894,1607
40271,571
39181,523
39183,523
33131,523
28888,1099
41638,20936
41583,20936
30781,1093
39832,10533
31595,7233
31565,1314
31578,5335
31559,1312
40971,6071
40926,6071
40602,1287
40669,489
40522,1287
40437,5355
35870,3091
40199,1326
40098,538
40078,2264
35665,1655
37855,1655
39792,13022
39655,1203
39527,1203
39654,1203
33357,1287
6005,664
8115,887
8114,605
8048,889
8020,846
8016,604
7905,659
7886,580
2322,8
7659,8
7707,580
4942,8
4941,8
7295,679
335,30
7307,679
7071,679
7072,679
6976,587
6809,587
6967,679
6886,679
